Time,cont,disc
0.268,-0.00439691649228107,0.00517132865143843
0.269,-0.00389427447261059,0.00510761016987021
0.27,-0.00340412112161089,0.00504389168830199
0.271,-0.00292630129452018,0.0049673668337342
0.272,-0.0024606593112102,0.00489084197916641
0.273,-0.00200703903252163,0.00481431712459862
0.274,-0.0015652839346507,0.00473779227003083
0.275,-0.0011352371816119,0.00466126741546303
0.276,-0.000716741695802071,0.00458474256089524
0.277,-0.000309640226690898,0.00450821770632745
0.278,8.62245823369537e-05,0.00443169285175966
0.279,0.000471010128962884,0.00435516799719187
0.28,0.000844873788713328,0.00427864314262408
0.281,0.00120797285351143,0.00419997370214763
0.282,0.00156046447197621,0.00412130426167119
0.283,0.00190250559144398,0.00404263482119474
0.284,0.00223425290168681,0.00396396538071829
0.285,0.002555862780303,0.00388529594024184
0.286,0.0028674912397543,0.00380662649976539
0.287,0.00316929387602484,0.00372795705928894
0.288,0.00346142581887692,0.00364928761881249
0.289,0.00374404168367853,0.00357061817833604
0.29,0.00401729552477782,0.0034919487378596
0.291,0.00428134079039988,0.00341781971675287
0.292,0.00453633027904079,0.00334369069564614
0.293,0.00478241609733482,0.00326956167453941
0.294,0.00501974961936991,0.00319543265343267
0.295,0.0052484814474273,0.00312130363232594
0.296,0.00546876137412093,0.00304717461121921
0.297,0.00568073834591255,0.00297304559011248
0.298,0.00588456042797851,0.00289891656900575
0.299,0.00608037477040441,0.00282478754789902
0.3,0.00626832757568388,0.00275065852679229
0.301,0.00644856406749783,0.00268482361740847
0.302,0.00662122846075097,0.00261898870802465
0.303,0.0067864639328421,0.00255315379864084
0.304,0.0069444125961452,0.00248731888925702
0.305,0.0070952154716784,0.0024214839798732
0.306,0.00723901246393804,0.00235564907048939
0.307,0.0073759423368752,0.00228981416110557
0.308,0.00750614269099236,0.00222397925172175
0.309,0.00762974994153798,0.00215814434233794
0.31,0.00774689929777686,0.00209230943295412
0.311,0.00785772474331456,0.00203644897051831
0.312,0.0079623590174542,0.00198058850808251
0.313,0.00806093359756408,0.0019247280456467
0.314,0.00815357868243509,0.0018688675832109
0.315,0.00824042317660659,0.00181300712077509
0.316,0.00832159467564016,0.00175714665833929
0.317,0.00839721945232041,0.00170128619590348
0.318,0.00846742244376257,0.00164542573346767
0.319,0.00853232723940642,0.00158956527103187
0.32,0.00859205606987691,0.00153370480859606
0.321,0.00864672979669131,0.00148810513159942
0.322,0.00869646790279359,0.00144250545460277
0.323,0.00874138848389657,0.00139690577760613
0.324,0.00878160824061275,0.00135130610060949
0.325,0.00881724247135489,0.00130570642361284
0.326,0.00884840506598771,0.0012601067466162
0.327,0.0088752085002122,0.00121450706961956
0.328,0.00889776383066434,0.00116890739262291
0.329,0.00891618069071027,0.00112330771562627
0.33,0.00893056728692004,0.00107770803862962
0.331,0.0089410303962025,0.00104178099809935
0.332,0.00894767536358394,0.00100585395756907
0.333,0.00895060610061346,0.000969926917038799
0.334,0.00894992508437812,0.000933999876508524
0.335,0.00894573335711132,0.000898072835978249
0.336,0.00893813052637802,0.000862145795447973
0.337,0.00892721476582056,0.000826218754917698
0.338,0.00891308281644924,0.000790291714387423
0.339,0.00889582998846181,0.000754364673857148
0.34,0.00887555016357659,0.000718437633326873
0.341,0.00885233579786379,0.00069110361559811
